rust:event_dispatching,erlang:port_receive,port:message_queue_len,erlang:msg_byte_size,erlang:binary_to_term,chalk_pipeline:flush/0,erlang:term_to_binary,erlang:msg_byte_size,erlang:port_command
0.014337,0.105479,0,146,0.006161,0.001193,0.221407,804,0.013916
0.008255,0.379616,0,732,0.004338,0.001022,0.216378,804,0.006512
0.011061,0.344299,0,85,0.004879,0.001002,0.189137,804,0.006312
0.012464,0.253778,0,228,0.005751,0.001172,0.24365,804,0.014387
0.014648,0.120597,0,76,0.013475,0.002495,0.292692,804,0.019226
0.014948,0.086834,0,76,0.011522,0.002114,0.230464,804,0.013706
0.014307,0.092404,0,76,0.011742,0.002445,0.260762,804,0.01628
0.011712,0.082736,0,76,0.011932,0.002776,0.259439,804,0.015268
0.013415,0.098927,0,76,0.007804,0.001553,0.241395,804,0.012464
0.011552,0.076604,0,76,0.005841,0.001082,0.195429,804,0.011572
0.012523,0.149843,0,76,0.00561,0.001223,0.192412,804,0.011833
0.012263,0.086984,0,76,0.005701,0.001182,0.191982,804,0.011702
0.011111,0.058861,0,76,0.004749,0.000911,0.187424,804,0.011662
0.011201,0.086233,0,76,0.005259,0.001042,0.191542,804,0.012193
0.011201,0.073378,0,76,0.00539,0.001022,0.190299,804,0.012934
0.011141,0.064873,0,76,0.005961,0.001172,0.211809,804,0.013235
0.016441,0.094528,0,76,0.005901,0.001162,0.219194,804,0.013315
0.023555,0.12731,0,76,0.058891,0.001583,0.25984,804,0.016451
0.024406,0.114166,0,76,0.006432,0.001392,0.226578,804,0.012914
0.018324,0.069621,0,76,0.005621,0.000962,0.202652,804,0.013075
0.021521,0.097483,0,76,0.005691,0.001223,0.226967,804,0.014197
0.024737,0.116259,0,76,0.006572,0.001383,0.22836,804,0.014608
0.023033,0.110599,0,76,0.007073,0.001152,0.220275,804,0.013786
0.024245,0.115368,0,76,0.007384,0.001192,0.231586,804,0.014838
0.027532,0.091171,0,76,0.006352,0.001022,0.210778,804,0.012594
0.021681,0.110218,0,76,0.007173,0.001173,0.233059,804,0.014257
0.021611,0.105148,0,76,0.007253,0.001323,0.233851,804,0.013525
0.027041,0.2227,0,76,0.006122,0.001122,0.218893,804,0.013064
0.023855,0.109246,0,76,0.006853,0.001453,0.219363,804,0.014808
0.027011,0.076634,0,76,0.006662,0.001283,0.242878,804,0.013034
0.027682,0.097474,0,76,0.006863,0.001362,0.258287,804,0.014788
0.025017,0.130185,0,76,0.008466,0.002074,0.271091,804,0.017934
0.020459,0.09547,0,76,0.006462,0.001032,0.203493,804,0.012274
0.024846,0.102874,0,76,0.006362,0.001182,0.226017,804,0.014266
0.022182,0.176533,0,76,0.007233,0.001663,0.231707,804,0.013375
0.022372,0.077496,0,76,0.005971,0.001092,0.208614,804,0.013856
0.020309,0.099036,0,76,0.006502,0.001173,0.234341,804,0.013225
0.02633,0.110208,0,76,0.008536,0.001523,0.242357,804,0.014367
0.02619,0.088747,0,76,0.060524,0.001333,0.258036,804,0.013245
0.03207,0.115147,0,76,0.008757,0.001913,0.278265,804,0.014147
0.030548,0.121038,0,76,0.008095,0.001653,0.262085,804,0.017012
0.027862,0.142429,0,76,0.029836,0.001413,0.24927,804,0.012964
0.0264,0.075763,0,76,0.006763,0.001402,0.22797,804,0.013115
0.025248,0.1009,0,76,0.007334,0.001212,0.225676,804,0.013345
0.02673,0.110719,0,76,0.012253,0.003015,0.283535,804,0.016962
0.028494,0.187323,0,76,0.012053,0.002725,0.259579,804,0.014998
0.027191,0.100429,0,76,0.007284,0.001513,0.213462,804,0.012053
0.0262,0.105969,0,76,0.006663,0.001303,0.261793,804,0.013996
